"Category","MediaType","RelativePath","Name","Extension","Bytes","ModifiedUtc","FullPath"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_attack2.ogg","CARRIER_attack2.ogg","ogg","31954","2025-06-08T21:11:03.2287266Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_attack2.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_attack3.ogg","CARRIER_attack3.ogg","ogg","34120","2025-06-08T21:11:03.2364752Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_attack3.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_damage1.ogg","CARRIER_damage1.ogg","ogg","32028","2025-06-08T21:11:03.2877999Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_damage1.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_damage2.ogg","CARRIER_damage2.ogg","ogg","32488","2025-06-08T21:11:03.2897912Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_damage2.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_death1.ogg","CARRIER_death1.ogg","ogg","50053","2025-06-08T21:11:02.8137459Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_death1.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_idle1.ogg","CARRIER_idle1.ogg","ogg","225021","2025-06-08T21:11:21.9536255Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_idle1.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_idle2.ogg","CARRIER_idle2.ogg","ogg","232563","2025-06-08T21:11:24.1212092Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_idle2.ogg"
"creature-audio","audio","Content/Characters/Charybdis/Bite1.ogg","Bite1.ogg","ogg","21751","2025-06-08T21:11:02.4024604Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\Bite1.ogg"
"creature-audio","audio","Content/Characters/Charybdis/Bite2.ogg","Bite2.ogg","ogg","21918","2025-06-08T21:11:03.7613872Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\Bite2.ogg"
"creature-audio","audio","Content/Characters/Charybdis/Bite3.ogg","Bite3.ogg","ogg","20660","2025-06-08T21:11:02.3994678Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\Bite3.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_attack1.ogg","CHARYBDIS_attack1.ogg","ogg","68570","2025-06-08T21:11:02.4034605Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_attack1.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_attack2.ogg","CHARYBDIS_attack2.ogg","ogg","86234","2025-06-08T21:11:03.4065664Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_attack2.ogg"
